date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:42	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2016:48:32%20GMT	http://www.themestarz.net/robots.txt		(from )
12:32:43	56626/56626	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jul%202018%2007:39:48%20GMT	http://www.themestarz.net/html/selfer/?storefront=envato-elements	D:/Programming/Port/www.themestarz.net/html/selfer/index04b9.html	(from )
12:32:46	144832/144832	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:09%20GMT	http://www.themestarz.net/html/selfer/assets/bootstrap/css/bootstrap.min.css	D:/Programming/Port/www.themestarz.net/html/selfer/assets/bootstrap/css/bootstrap.min.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:32:46	34734/34734	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:35:08%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css	D:/Programming/Port/www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:32:47	7782/7782	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:56%20GMT	http://www.themestarz.net/html/selfer/assets/css/magnific-popup.css	D:/Programming/Port/www.themestarz.net/html/selfer/assets/css/magnific-popup.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:32:48	3563/3563	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:57%20GMT	http://www.themestarz.net/html/selfer/assets/css/odometer-theme-default.css	D:/Programming/Port/www.themestarz.net/html/selfer/assets/css/odometer-theme-default.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:32:49	2936/2936	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:58%20GMT	http://www.themestarz.net/html/selfer/assets/css/owl.carousel.min.css	D:/Programming/Port/www.themestarz.net/html/selfer/assets/css/owl.carousel.min.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:32:49	51786/51786	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2014:34:59%20GMT	http://www.themestarz.net/html/selfer/assets/css/style.css	D:/Programming/Port/www.themestarz.net/html/selfer/assets/css/style.css	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:32:51	3363/3363	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:37%20GMT	http://www.themestarz.net/html/selfer/assets/img/logo.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/logo.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
12:32:52	4311/4311	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:36:37%20GMT	http://www.themestarz.net/html/selfer/assets/img/icon-brushes.png	D:/Programming/Port/www.themestarz.net/html/selfer/assets/img/icon-brushes.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
